[17.04.2026, 10:31:45] Користувач: Alex | Дія: Реєстрація пристрою | Статус: Успіх
[17.04.2026, 10:31:49] Користувач: Alex | Дія: Вхід в систему (IP: ::1) | Статус: Успіх
[17.04.2026, 10:32:17] Користувач: Alex | Дія: Вхід в систему (IP: ::1) | Статус: Успіх
[17.04.2026, 10:33:01] Користувач: Alex | Дія: Завантаження фото | Статус: Успіх (Зашифровано)
[17.04.2026, 10:33:31] Користувач: Alex | Дія: Вихід з системи | Статус: Успіх
[17.04.2026, 10:33:34] Користувач: Alex | Дія: Спроба реєстрації | Статус: Помилка: Ім'я зайняте
[17.04.2026, 10:33:46] Користувач: Alex1 | Дія: Реєстрація пристрою | Статус: Успіх
[17.04.2026, 10:34:02] Користувач: Alex1 | Дія: Вхід в систему (IP: ::1) | Статус: Успіх
[17.04.2026, 10:34:27] Користувач: Alex1 | Дія: Вихід з системи | Статус: Успіх
[17.04.2026, 10:54:49] Користувач: Alex | Дія: Вхід | Статус: Успіх
[17.04.2026, 10:55:40] Користувач: Admin | Дія: Реєстрація | Статус: Успіх
[17.04.2026, 10:55:44] Користувач: Admin | Дія: Вхід | Статус: Успіх
[17.04.2026, 10:56:48] Користувач: Alex | Дія: Вхід | Статус: Успіх
[18.04.2026, 09:59:36] Користувач: Alex | Дія: Вхід | Статус: Успіх
[18.04.2026, 13:01:06] Користувач: Alex | Дія: Вхід | Статус: Успіх
[20.04.2026, 08:31:59] Користувач: Alex2 | Дія: Реєстрація | Статус: Успіх
[20.04.2026, 08:32:04] Користувач: Alex2 | Дія: Вхід | Статус: Успіх
[21.04.2026, 19:02:57] Користувач: Alex | Дія: Вхід | Статус: Успіх
[21.04.2026, 19:04:16] Користувач: Test | Дія: Реєстрація | Статус: Успіх
[21.04.2026, 19:04:20] Користувач: Test | Дія: Вхід | Статус: Успіх
[21.04.2026, 19:04:46] Користувач: Alex | Дія: Вхід | Статус: Успіх
